pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,avg_EPE
0.5,1,21,1,7,1.1,6.620750892
0.5,1,21,1,5,1.1,6.620670814
0.7,1,21,1,7,1.5,6.554224442
0.7,1,15,1,7,1.5,6.55203766
0.7,1,21,3,7,1.1,6.543755931
0.7,1,21,3,5,1.1,6.543692599
0.7,1,15,1,5,1.5,6.540805455
0.7,1,21,1,5,1.5,6.540680721
0.7,1,9,1,7,1.5,6.469219527
0.7,1,9,1,5,1.5,6.461342881
0.7,1,15,3,7,1.1,6.447869438
0.7,1,15,3,5,1.1,6.447814183
0.7,1,9,5,7,1.1,6.436734257
0.7,1,9,5,5,1.1,6.436693541
0.7,1,9,3,7,1.1,6.241838459
0.7,1,9,3,5,1.1,6.241793058
0.7,1,15,1,7,1.1,5.716646715
0.7,1,15,1,5,1.1,5.71657426
0.7,1,21,1,7,1.1,5.698040581
0.7,1,21,1,5,1.1,5.697957809
0.7,1,9,1,7,1.1,5.687133177
0.7,1,9,1,5,1.1,5.687075476
