algorithm,pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,mean_error
Farneback,0.3,5,15,5,5,1.1,0.7805614054135748
Farneback,0.3,5,15,5,5,1.5,0.8048111800597545
Farneback,0.3,5,15,5,7,1.1,0.780562763952912
Farneback,0.3,5,15,5,7,1.5,0.8057056747395269
Farneback,0.3,5,21,1,5,1.1,0.8920254363487652
Farneback,0.3,5,21,1,5,1.5,0.8386862320730589
Farneback,0.3,5,21,1,7,1.1,0.8920098771886741
Farneback,0.3,5,21,1,7,1.5,0.8395337376803176
Farneback,0.3,5,21,3,5,1.1,0.7965852272305298
Farneback,0.3,5,21,3,5,1.5,0.8021144604837793
Farneback,0.3,5,21,3,7,1.1,0.796580101193266
Farneback,0.3,5,21,3,7,1.5,0.8025498699240653
Farneback,0.3,5,21,5,5,1.1,0.7871503213884636
Farneback,0.3,5,21,5,5,1.5,0.7993632301807417
Farneback,0.3,5,21,5,7,1.1,0.7871470964519095
Farneback,0.3,5,21,5,7,1.5,0.7998669345744296
Farneback,0.5,1,9,1,5,1.1,1.4538840293496547
Farneback,0.5,1,9,1,5,1.5,1.0931152348950295
Farneback,0.5,1,9,1,7,1.1,1.4538638318231165
Farneback,0.5,1,9,1,7,1.5,1.0935999750955403
Farneback,0.5,1,9,3,5,1.1,1.1187886388790402
Farneback,0.5,1,9,3,5,1.5,0.9474673920642549
Farneback,0.5,1,9,3,7,1.1,1.1187743024888548
Farneback,0.5,1,9,3,7,1.5,0.9475987166541876
Farneback,0.5,1,9,5,5,1.1,1.0445652058291754
Farneback,0.5,1,9,5,5,1.5,0.9253995479661634
Farneback,0.5,1,9,5,7,1.1,1.044554324706912
Farneback,0.5,1,9,5,7,1.5,0.9259208049329739
Farneback,0.5,1,15,1,5,1.1,1.3665324435008992
Farneback,0.5,1,15,1,5,1.5,0.9959882174023685
Farneback,0.5,1,15,1,7,1.1,1.3665016497952802
Farneback,0.5,1,15,1,7,1.5,0.9952491858412194
Farneback,0.5,1,15,3,5,1.1,0.9893926620996162
Farneback,0.5,1,15,3,5,1.5,0.8584092779879993
Farneback,0.5,1,15,3,7,1.1,0.9893777157273635
Farneback,0.5,1,15,3,7,1.5,0.858235854735451
Farneback,0.5,1,15,5,5,1.1,0.9111502404152328
Farneback,0.5,1,15,5,5,1.5,0.837521286845621
Farneback,0.5,1,15,5,7,1.1,0.9111405536480168
Farneback,0.5,1,15,5,7,1.5,0.8378527195382314
Farneback,0.5,1,21,1,5,1.1,1.3488336371169596
Farneback,0.5,1,21,1,5,1.5,0.965228390068502
Farneback,0.5,1,21,1,7,1.1,1.3487909357862933
Farneback,0.5,1,21,1,7,1.5,0.9632617111715989
Farneback,0.5,1,21,3,5,1.1,0.9372083250695518
Farneback,0.5,1,21,3,5,1.5,0.8261887893700066
Farneback,0.5,1,21,3,7,1.1,0.9371916870606372
Farneback,0.5,1,21,3,7,1.5,0.8260870787747823
Farneback,0.5,1,21,5,5,1.1,0.8590454816868065
Farneback,0.5,1,21,5,5,1.5,0.8112896573614781
Farneback,0.5,1,21,5,7,1.1,0.8590338067631258
Farneback,0.5,1,21,5,7,1.5,0.8114480315261163
Farneback,0.5,3,9,1,5,1.1,0.7943087542174464
Farneback,0.5,3,9,1,5,1.5,0.8420716084561937
Farneback,0.5,3,9,1,7,1.1,0.7943131015466222
Farneback,0.5,3,9,1,7,1.5,0.8441284543436105
Farneback,0.5,3,9,3,5,1.1,0.7990009802844033
Farneback,0.5,3,9,3,5,1.5,0.8431460815800906
Farneback,0.5,3,9,3,7,1.1,0.7990036215397041
Farneback,0.5,3,9,3,7,1.5,0.8447323295384234
Farneback,0.5,3,9,5,5,1.1,0.8011758131507141
Farneback,0.5,3,9,5,5,1.5,0.846592225236511
Farneback,0.5,3,9,5,7,1.1,0.8011779641455169
Farneback,0.5,3,9,5,7,1.5,0.8481020206244088
Farneback,0.5,3,15,1,5,1.1,0.774153019396026
Farneback,0.5,3,15,1,5,1.5,0.7983281338868935
Farneback,0.5,3,15,1,7,1.1,0.7741566796545655
Farneback,0.5,3,15,1,7,1.5,0.7998435283243264
Farneback,0.5,3,15,3,5,1.1,0.7792283602890627
Farneback,0.5,3,15,3,5,1.5,0.8041660256434766
Farneback,0.5,3,15,3,7,1.1,0.7792298708414053
Farneback,0.5,3,15,3,7,1.5,0.8050229756799855
Farneback,0.5,3,15,5,5,1.1,0.7808061051572405
Farneback,0.5,3,15,5,5,1.5,0.8055265966492745
Farneback,0.5,3,15,5,7,1.1,0.7808078000216918
Farneback,0.5,3,15,5,7,1.5,0.806410977180245
Farneback,0.5,3,21,1,5,1.1,0.7905155457530597
Farneback,0.5,3,21,1,5,1.5,0.79080869321992
Farneback,0.5,3,21,1,7,1.1,0.7905113177550682
Farneback,0.5,3,21,1,7,1.5,0.7917063054375931
Farneback,0.5,3,21,3,5,1.1,0.7750662854407415
Farneback,0.5,3,21,3,5,1.5,0.7942753879356478
Farneback,0.5,3,21,3,7,1.1,0.7750656951556278
Farneback,0.5,3,21,3,7,1.5,0.7949159925932899
Farneback,0.5,3,21,5,5,1.1,0.7753915024076755
Farneback,0.5,3,21,5,5,1.5,0.7956499257433256
Farneback,0.5,3,21,5,7,1.1,0.7753918492562604
Farneback,0.5,3,21,5,7,1.5,0.7962121336691764
Farneback,0.5,5,9,1,5,1.1,0.7943087542174464
Farneback,0.5,5,9,1,5,1.5,0.8420716084561937
Farneback,0.5,5,9,1,7,1.1,0.7943131015466222
Farneback,0.5,5,9,1,7,1.5,0.8441284543436105
Farneback,0.5,5,9,3,5,1.1,0.7990009802844033
Farneback,0.5,5,9,3,5,1.5,0.8431460815800906
Farneback,0.5,5,9,3,7,1.1,0.7990036215397041
Farneback,0.5,5,9,3,7,1.5,0.8447323295384234
Farneback,0.5,5,9,5,5,1.1,0.8011758131507141
Farneback,0.5,5,9,5,5,1.5,0.846592225236511
Farneback,0.5,5,9,5,7,1.1,0.8011779641455169
Farneback,0.5,5,9,5,7,1.5,0.8481020206244088
Farneback,0.5,5,15,1,5,1.1,0.774153019396026
Farneback,0.5,5,15,1,5,1.5,0.7983281338868935
Farneback,0.5,5,15,1,7,1.1,0.7741566796545655
Farneback,0.5,5,15,1,7,1.5,0.7998435283243264
Farneback,0.5,5,15,3,5,1.1,0.7792283602890627
Farneback,0.5,5,15,3,5,1.5,0.8041660256434766
Farneback,0.5,5,15,3,7,1.1,0.7792298708414053
Farneback,0.5,5,15,3,7,1.5,0.8050229756799855
Farneback,0.5,5,15,5,5,1.1,0.7808061051572405
Farneback,0.5,5,15,5,5,1.5,0.8055265966492745
Farneback,0.5,5,15,5,7,1.1,0.7808078000216918
Farneback,0.5,5,15,5,7,1.5,0.806410977180245
Farneback,0.5,5,21,1,5,1.1,0.7905155457530597
Farneback,0.5,5,21,1,5,1.5,0.79080869321992
Farneback,0.5,5,21,1,7,1.1,0.7905113177550682
Farneback,0.5,5,21,1,7,1.5,0.7917063054375931
Farneback,0.5,5,21,3,5,1.1,0.7750662854407415
Farneback,0.5,5,21,3,5,1.5,0.7942753879356478
Farneback,0.5,5,21,3,7,1.1,0.7750656951556278
Farneback,0.5,5,21,3,7,1.5,0.7949159925932899
Farneback,0.5,5,21,5,5,1.1,0.7753915024076755
Farneback,0.5,5,21,5,5,1.5,0.7956499257433256
Farneback,0.5,5,21,5,7,1.1,0.7753918492562604
Farneback,0.5,5,21,5,7,1.5,0.7962121336691764
Farneback,0.7,1,9,1,5,1.1,2.237505848138861
Farneback,0.7,1,9,1,5,1.5,1.6231675199105455
Farneback,0.7,1,9,1,7,1.1,2.2374733923785133
Farneback,0.7,1,9,1,7,1.5,1.618795644349872
Farneback,0.7,1,9,3,5,1.1,1.8375226967812752
Farneback,0.7,1,9,3,5,1.5,1.3489527625378688
Farneback,0.7,1,9,3,7,1.1,1.837491255440693
