algorithm,parameters,sequence,mean_error,max_error,error_std,ssim,runtime_s
DIS,"{'setFinestScale': 2, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,46.55120976765951,255.0,37.067578633626304,0.13641496161833866,0.028957843780517578
DIS,"{'setFinestScale': 2, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,46.51997947692871,255.0,37.0441951751709,0.13649871343475287,0.022472143173217773
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 4, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,46.61181767781576,254.87239583333334,37.20277659098307,0.13870730277544943,0.02597188949584961
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 4, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,46.58369890848795,254.798828125,37.16936238606771,0.13872508709147183,0.024960041046142578
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 6, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,46.6207586924235,254.98974609375,37.20537503560384,0.13827816914047256,0.020914316177368164
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 6, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,46.62561480204264,254.98974609375,37.21770668029785,0.13834960999499818,0.02293848991394043
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 4, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,41.558353424072266,251.99723307291666,34.62079111735026,0.1731722805840519,0.050493717193603516
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 4, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,41.51785850524902,252.44791666666666,34.5794989267985,0.17521726520649902,0.04694104194641113
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.04882303873698,251.326171875,34.901624043782554,0.16860648793356114,0.04198884963989258
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,41.873531341552734,251.03597005208334,34.810946782430015,0.1693324128448048,0.04295516014099121
