algorithm,set_000,set_001,set_002,set_003,set_004,set_005,set_006,set_007,set_008,set_009,set_010,set_011,set_012,set_013,set_014,set_015,set_016,set_017,set_018,set_019,set_020,set_021,set_022,set_023,set_024,set_025,set_026,set_027,set_028,set_029,set_030,set_031,set_032,set_033,set_034,set_035,set_036,set_037,set_038,set_039,set_040,set_041,set_042,set_043,set_044,set_045,set_046,set_047,set_048,set_049,overall_error,cumulative_disp
Farneback,0.662434701,0.446825217,0.821174105,0.758998814,0.391968936,0.386697352,0.451997667,0.539492864,0.809681674,0.992883016,1.378895702,0.478432786,1.251956003,1.096841478,1.078565363,0.390518944,0.778143253,0.982126027,0.365833821,0.613151038,0.475976485,0.887728372,0.36703981,0.676461915,0.638695833,0.375078669,0.450822575,1.009808316,1.183097551,0.962423651,1.143655594,0.496956708,0.739551972,0.498486809,0.919858593,1.123765376,1.303736613,1.024289211,1.027357634,1.000660237,0.407464092,0.767932369,1.252387383,1.131242067,0.600471897,0.656269795,0.443473764,0.440696133,0.892280797,0.70866792,0.765659138,1699.761394
Lucas-Kanade,0.688543811,0.446625965,0.86068072,0.766241552,0.39370577,0.386601619,0.469769269,0.540994423,0.86802918,1.073731356,1.41000674,0.492782281,1.35879625,1.202719935,1.162690936,0.405005423,0.78705519,1.0280283,0.372525214,0.622406078,0.485882256,0.975918541,0.360093308,0.689336718,0.65119758,0.398191729,0.465124142,1.058779739,1.359727445,1.058726643,1.304625119,0.528987099,0.807918419,0.519393299,1.080018712,1.262636217,1.432097993,1.131396426,1.086910979,1.052550497,0.403805573,0.8069458,1.4268832,1.296908821,0.609838418,0.697827654,0.458892016,0.43918903,0.910018019,0.75924324,0.817120093,1728.174544
DIS,0.656134828,0.467276173,0.82316926,0.754298175,0.420908718,0.410237099,0.475593136,0.552430699,0.817395467,0.987073382,1.361563603,0.482098901,1.31741214,1.084518498,1.109441123,0.42949879,0.762893599,0.976992112,0.369827419,0.627818748,0.489417844,0.889756301,0.387606301,0.676050769,0.631902881,0.39089918,0.45954555,1.020012234,1.185365796,1.000597726,1.163754885,0.507260407,0.729798607,0.505146783,0.95295184,1.164264052,1.370530497,1.002972952,1.016035946,0.975760066,0.404086449,0.775860676,1.287506546,1.139283806,0.612986501,0.672079048,0.448428633,0.456404954,0.881646151,0.726611989,0.776222145,1714.216307
Speckle Tracking,2.075445633,1.986410714,2.373676917,2.402389833,1.938523279,1.850660803,1.901139555,2.043779495,2.364938539,2.582721166,3.059781868,1.993320973,2.950118139,2.768055369,2.756249741,2.056998406,2.372166304,2.699477579,1.926826575,2.024154839,1.992892631,2.383514982,1.913241756,2.24206987,2.160987677,1.866362495,1.893732504,2.602592826,2.806907582,2.536355711,2.829198049,1.983530546,2.136509127,2.153295523,2.510839344,2.819537389,2.886494366,2.758571998,2.571327996,2.673436684,1.988634998,2.403965071,3.007984507,2.887271488,2.051757242,2.178066922,1.880409453,2.083317502,2.433942418,2.285245153,2.340976591,0
